schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,420,2,2,0,420,15089,420,0,14669,15089,15155,15155,15155,2,2,1056,0,15983,16047,16047,16063,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,37,0,0,0,37,15091,37,0,15054,15091,15349,15349,15349,0,0,4128,0,15091,15347,15349,15413,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,336,3,3,0,336,15103,336,0,14767,15103,15233,15233,15233,3,3,2080,0,16047,16175,16175,16207,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,38,0,0,0,38,15413,38,0,15375,15413,15479,15479,15479,0,0,1056,0,15413,15477,15479,15495,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,40,0,0,0,40,15495,40,0,15455,15495,15753,15753,15753,0,0,4128,0,16175,16431,16431,16495,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,430,2,2,0,430,16063,430,0,15633,16063,16577,16577,16577,2,2,8224,0,16063,16575,16577,16705,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,406,3,3,0,406,16207,406,0,15801,16207,16465,16465,16465,3,3,4128,0,16575,16831,16831,16895,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,485,1,1,0,485,16241,485,0,15756,16241,16307,16307,16307,1,1,1056,0,16241,16305,16307,16323,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,491,1,1,0,491,16323,491,0,15832,16323,16357,16357,16357,1,1,544,0,16323,16355,16357,16365,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,499,1,1,0,499,16365,499,0,15866,16365,16431,16431,16431,1,1,1056,0,16365,16429,16431,16447,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,500,1,1,0,500,16447,500,0,15947,16447,16577,16577,16577,1,1,2080,0,16447,16575,16577,16609,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,41,0,0,0,41,16495,41,0,16454,16495,16561,16561,16561,0,0,1056,0,16495,16559,16561,16577,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,43,0,0,0,43,16577,43,0,16534,16577,16707,16707,16707,0,0,2080,0,16577,16705,16707,16739,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,523,1,1,0,523,16609,523,0,16086,16609,16643,16643,16643,1,1,544,0,16705,16737,16737,16745,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,452,2,2,0,452,16705,452,0,16253,16705,16963,16963,16963,2,2,4128,0,16705,16961,16963,17027,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,44,0,0,0,44,16739,44,0,16695,16739,16997,16997,16997,0,0,4128,0,16961,17217,17217,17281,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,540,1,1,0,540,16745,540,0,16205,16745,17259,17259,17259,1,1,8224,0,17217,17729,17729,17857,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,410,3,3,0,410,16895,410,0,16485,16895,16961,16961,16961,3,3,1056,0,16895,16959,16961,16977,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,421,3,3,0,421,16977,421,0,16556,16977,17043,17043,17043,3,3,1056,0,16977,17041,17043,17059,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,455,2,2,0,455,17027,455,0,16572,17027,17093,17093,17093,2,2,1056,0,17027,17091,17093,17109,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,453,3,3,0,453,17059,453,0,16606,17059,17189,17189,17189,3,3,2080,0,17059,17187,17189,17221,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,463,2,2,0,463,17109,463,0,16646,17109,17239,17239,17239,2,2,2080,0,17109,17237,17239,17271,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,468,3,3,0,468,17221,468,0,16753,17221,17735,17735,17735,3,3,8224,0,17729,18241,18241,18369,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,473,2,2,0,473,17271,473,0,16798,17271,17529,17529,17529,2,2,4128,0,17271,17527,17529,17593,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,45,0,0,0,45,17281,45,0,17236,17281,17539,17539,17539,0,0,4128,0,17527,17783,17783,17847,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,474,2,2,0,474,17593,474,0,17119,17593,17659,17659,17659,2,2,1056,0,17593,17657,17659,17675,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,475,2,2,0,475,17675,475,0,17200,17675,17741,17741,17741,2,2,1056,0,17675,17739,17741,17757,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,519,2,2,0,519,17757,519,0,17238,17757,17887,17887,17887,2,2,2080,0,17757,17885,17887,17919,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,46,0,0,0,46,17847,46,0,17801,17847,17881,17881,17881,0,0,544,0,17847,17879,17881,17889,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,549,1,1,0,549,17857,549,0,17308,17857,18883,18883,18883,1,1,16416,0,17857,18881,18883,19139,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,47,0,0,0,47,17889,47,0,17842,17889,17955,17955,17955,0,0,1056,0,17889,17953,17955,17971,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,563,2,2,0,563,17919,563,0,17356,17919,18177,18177,18177,2,2,4128,0,17953,18209,18209,18273,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,48,0,0,0,48,17971,48,0,17923,17971,18229,18229,18229,0,0,4128,0,18241,18497,18497,18561,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,567,2,2,0,567,18273,567,0,17706,18273,19299,19299,19299,2,2,16416,0,18273,19297,19299,19555,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,478,3,3,0,478,18369,478,0,17891,18369,18627,18627,18627,3,3,4128,0,18369,18625,18627,18691,2,3
