node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
211,/model/layers.0/self_attn/Concat_2,,Concat,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
212,/model/layers.0/self_attn/Reshape,,Reshape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
213,/model/layers.0/self_attn/Transpose,,Transpose,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
214,/model/layers.0/self_attn/k_proj/MatMul,,MatMul,0,attention_projection,k_proj,1152,256,float,onnx::MatMul_9593,1179648,4608,1024,once_per_decode_token,model.onnx_data,1212682752,1212682752,1,1,2,graph-derived
215,/model/layers.0/self_attn/Reshape_1,,Reshape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
216,/model/layers.0/self_attn/Transpose_1,,Transpose,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
217,/model/layers.0/self_attn/v_proj/MatMul,,MatMul,0,attention_projection,v_proj,1152,256,float,onnx::MatMul_9594,1179648,4608,1024,once_per_decode_token,model.onnx_data,1213862400,1213862400,2,3,0,graph-derived
218,/model/layers.0/self_attn/Reshape_2,,Reshape,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
219,/model/layers.0/self_attn/Transpose_2,,Transpose,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
220,/model/layers.0/self_attn/q_norm/Cast,,Cast,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
221,/model/layers.0/self_attn/q_norm/Constant,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
222,/model/layers.0/self_attn/q_norm/Pow,,Pow,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
223,/model/layers.0/self_attn/q_norm/ReduceMean,,ReduceMean,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
224,/model/layers.0/self_attn/q_norm/Constant_1,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
225,/model/layers.0/self_attn/q_norm/Add,,Add,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
226,/model/layers.0/self_attn/q_norm/Sqrt,,Sqrt,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
227,/model/layers.0/self_attn/q_norm/Constant_2,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
228,/model/layers.0/self_attn/q_norm/Div,,Div,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
229,/model/layers.0/self_attn/q_norm/Mul,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
230,/model/layers.0/self_attn/q_norm/Mul_1,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
231,/model/layers.0/self_attn/k_norm/Cast,,Cast,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
232,/model/layers.0/self_attn/k_norm/Constant,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
233,/model/layers.0/self_attn/k_norm/Pow,,Pow,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
234,/model/layers.0/self_attn/k_norm/ReduceMean,,ReduceMean,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
235,/model/layers.0/self_attn/k_norm/Constant_1,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
236,/model/layers.0/self_attn/k_norm/Add,,Add,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
237,/model/layers.0/self_attn/k_norm/Sqrt,,Sqrt,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
238,/model/layers.0/self_attn/k_norm/Constant_2,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
239,/model/layers.0/self_attn/k_norm/Div,,Div,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
240,/model/layers.0/self_attn/k_norm/Mul,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
241,/model/layers.0/self_attn/k_norm/Mul_1,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
242,/model/layers.0/self_attn/Constant_8,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
243,/model/layers.0/self_attn/Unsqueeze_6,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
244,/model/layers.0/self_attn/Constant_9,,Constant,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
245,/model/layers.0/self_attn/Unsqueeze_7,,Unsqueeze,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
246,/model/layers.0/self_attn/Mul,,Mul,0,attention_non_projection,,,,,,,,,,,,,,,,graph-derived
